,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150
global_accuracy,0.011182795698924731,0.18344086021505376,0.34623655913978496,0.32365591397849464,0.2604301075268817,0.2651612903225806,0.4470967741935484,0.49311827956989246,0.4464516129032258,0.5058064516129033,0.4890322580645161,0.5337634408602151,0.5329032258064517,0.5296774193548387,0.5505376344086022,0.5210752688172043,0.546236559139785,0.5320430107526881,0.5058064516129033,0.4524731182795699,0.49053763440860215,0.5393548387096774,0.5470967741935484,0.5503225806451613,0.5531182795698925,0.5234408602150538,0.5045161290322581,0.5679569892473119,0.5653763440860216,0.5716129032258065,0.5378494623655914,0.5539784946236559,0.5298924731182796,0.5232258064516129,0.5445161290322581,0.5298924731182796,0.5217204301075269,0.5402150537634408,0.5610752688172043,0.5412903225806451,0.5333333333333333,0.552258064516129,0.5230107526881721,0.5660215053763441,0.5670967741935484,0.5653763440860216,0.5694623655913978,0.5460215053763441,0.510752688172043,0.509247311827957,0.5352688172043011,0.4475268817204301,0.4774193548387097,0.5096774193548387,0.5081720430107527,0.4993548387096774,0.43806451612903224,0.34881720430107527,0.48731182795698924,0.4565591397849462,0.5146236559139785,0.5283870967741936,0.5335483870967742,0.5470967741935484,0.5552688172043011,0.5496774193548387,0.524731182795699,0.5350537634408602,0.49010752688172043,0.5036559139784946,0.5417204301075269,0.5378494623655914,0.5533333333333333,0.5180645161290323,0.5529032258064516,0.5572043010752689,0.5946236559139785,0.5787096774193549,0.5612903225806452,0.5421505376344086,0.566236559139785,0.5578494623655914,0.5464516129032259,0.5670967741935484,0.5694623655913978,0.5012903225806452,0.5701075268817204,0.5855913978494623,0.5703225806451613,0.5729032258064516,0.5670967741935484,0.5780645161290323,0.5843010752688172,0.5791397849462365,0.5972043010752688,0.6094623655913979,0.5746236559139785,0.5840860215053764,0.5776344086021505,0.5944086021505376,0.5926881720430107,0.578494623655914,0.5875268817204301,0.5726881720430107,0.5853763440860215,0.6004301075268818,0.5804301075268817,0.5954838709677419,0.5886021505376344,0.5903225806451613,0.5778494623655914,0.5941935483870968,0.587741935483871,0.5868817204301076,0.5765591397849462,0.6034408602150537,0.5941935483870968,0.5946236559139785,0.6,0.5946236559139785,0.5720430107526882,0.584516129032258,0.5967741935483871,0.5991397849462365,0.5954838709677419,0.5832258064516129,0.5950537634408603,0.5954838709677419,0.603225806451613,0.5911827956989247,0.5905376344086022,0.5995698924731183,0.6015053763440861,0.6172043010752688,0.6090322580645161,0.6038709677419355,0.6006451612903225,0.6083870967741936,0.6002150537634409,0.6148387096774194,0.604516129032258,0.607741935483871,0.590752688172043,0.6135483870967742,0.6086021505376344,0.6197849462365591,0.6243010752688172,0.6243010752688172,0.6182795698924731,0.6193548387096774,0.621505376344086
global_loss,2.0786591441663975,1.6255942011532718,1.5993984415106577,1.5863609901846272,1.6317115058637646,1.7562378195867145,1.4848166769498015,1.3439405364532993,1.4293090333677319,1.3355935452735588,1.3413284845548132,1.2902755361713776,1.2715422956094349,1.2975071019505802,1.2526283762226367,1.2961833105511862,1.2398546803487491,1.2696335952575892,1.2882081727459007,1.3984050979352978,1.354638640194723,1.2391255930678484,1.231728091223599,1.2160582570997003,1.2207490899791456,1.2860134815516537,1.3501753153866285,1.194648074777159,1.203155719662366,1.195107533507151,1.2450881555472335,1.2229855623963761,1.3051271018100112,1.289755251309643,1.2461993065598893,1.267269835488437,1.312955823254912,1.2592424289004442,1.2069829236971188,1.2856836265897098,1.2946942869114548,1.2511130967368818,1.2731342630027092,1.2167377884257329,1.2421230706450057,1.230330912217702,1.2250737841815165,1.242394598787778,1.3313832585125753,1.3691003347096378,1.3184100691586325,1.5048823605661523,1.455874397330088,1.3399120116070524,1.3938177289211586,1.393596298074069,1.6002280744787765,1.9608621687105257,1.4896033716528383,1.6887092288226297,1.4016607820171199,1.4465162411128005,1.4260697230084303,1.4348674036868632,1.3999967844518897,1.438310492936879,1.4722592589789874,1.517117396201173,1.6622343541008153,1.5901101554093295,1.6664119742504537,1.6354033628555193,1.6146440428413757,1.7807322258818639,1.6204140717036104,1.5181855947187501,1.5165091169207063,1.5388528373959947,1.4759736485677222,1.585251417062054,1.6265474557876587,1.6435687435816413,1.5386837961739057,1.5696747878642932,1.6063414697777736,1.8589540630170744,1.6520329423963207,1.6764918904598445,1.7195044588552761,1.6941704154014587,1.9003437708501947,1.8585870710954273,1.7434765051489007,1.8772192834174797,1.695031664959372,1.8444314472479364,1.9162241481754878,1.858517975431599,1.7840759970553934,1.9858405475747096,1.9995168651620003,1.8618097819694102,2.0227303443706197,1.9370051634638277,1.9503582009713945,2.0485593260151065,2.055217101965865,2.070504997691063,2.22257235687073,2.2697551985309548,2.345019858993896,2.048537607878855,2.5527873586301935,2.2269695041930837,2.226004860989035,2.143374120535916,2.4497775851863706,2.0783246690279817,2.324165345871285,2.2188780911981243,2.2458318063657576,2.2765668569362325,2.3625888693822574,2.429754381718701,2.23599256554695,2.2641086415068745,2.2112426961937994,2.359667997245919,2.386022836378176,2.4160766209641547,2.6263489837515843,2.444765948269465,2.4655992176434767,2.365091280577934,2.4564157728463005,2.3299249835210305,2.5137357385191197,2.4655651539972383,2.266809528004633,2.7672575328448046,2.6314972924859554,2.5685975837380917,2.595341310109178,2.938369230864799,2.9952602639590222,2.9778271321564507,3.1450965967896867,3.1767148057075394,3.1907178147198403,3.2783087459329057,3.339171475743594
global_precision,0.00012505491964388948,0.033650549196438895,0.3793795373255199,0.4726959918079639,0.4719900755438494,0.46331581105431635,0.49990810161075105,0.5163425544077649,0.5198009039883641,0.5162136662943105,0.5341191763383973,0.5113940549773479,0.5285464252268569,0.5493263568484084,0.5234292352465604,0.5463476783078058,0.5454839729914729,0.5619493981761852,0.5445081453847354,0.5375579511024335,0.5970834169231021,0.5614205527471011,0.5850431157579074,0.5658262392783253,0.5608780063531319,0.5628836560887945,0.5594103572482059,0.5589438207909533,0.5638839014176964,0.5675855409868322,0.5774581221238422,0.5695251163880802,0.5715204088222797,0.5899749061418855,0.5664166608272746,0.5768223504603492,0.5616222311749229,0.5681800009680019,0.5592305399177353,0.5789251372866244,0.5599410639642092,0.5552978444879719,0.5579156997943866,0.5604744978713574,0.5646488686000554,0.5705513388031804,0.5758148419653842,0.5913888144968218,0.5803105270849801,0.588974034998777,0.5919096426984892,0.5866942685822412,0.5848208471932238,0.5951142354744342,0.5763393565223804,0.5857821342587629,0.5911865067518157,0.6043872418803482,0.5677072235766599,0.608260156970772,0.5895702219079295,0.5887278035074143,0.5825472889375477,0.5932032722813566,0.5665107476364554,0.561981080295595,0.5840068663199534,0.5788107547289121,0.5832932203743145,0.5771551355848663,0.569134529563082,0.5543898184152591,0.5650245860999794,0.5732186455471892,0.5689252479712474,0.5581817818808471,0.5855903627354305,0.5669038723968304,0.5655661316123702,0.5791241517816965,0.5646431259115194,0.5774210016087898,0.5698814702897604,0.5552846153140474,0.5725093630800455,0.5500108989736551,0.5684195949513605,0.566693575858972,0.5740681343784338,0.5580612163947073,0.5545710319258143,0.5643470064478798,0.5689445286448458,0.5700066342985699,0.5764403990667709,0.5964477471408057,0.5740881961174024,0.5889192120687706,0.5587844327826041,0.5749260346741198,0.5764897253880522,0.5762422859515254,0.5791645147825101,0.5739304409676137,0.5736798218889007,0.5798303945155928,0.5718908082566561,0.59733237267791,0.6030918548042908,0.5772955408230965,0.5873352527089886,0.5790029328970864,0.5860690638426416,0.5884136734804686,0.5694292743626207,0.5837016228196219,0.5797585803173987,0.5853534965922801,0.5905295270387931,0.5876356558367605,0.5764313074693825,0.576756109406236,0.5780800479671345,0.5964623403529432,0.5828146462436024,0.5808603876974024,0.5827708492089234,0.5873214686601551,0.5828463674250474,0.594432797110078,0.5717044015886287,0.5768593135339819,0.5871652594768131,0.5978806338118957,0.5869229127613431,0.5979567126955085,0.5937796111149811,0.5901516526769754,0.585116632762814,0.5958038665923938,0.5904749614312866,0.592314812051745,0.5793880958055944,0.5946851208337293,0.5916298251134451,0.5994711727822037,0.605554814559174,0.6063134818165097,0.6024048609105024,0.6024665974604749,0.6064248084747487
global_recall,0.011182795698924731,0.18344086021505376,0.34623655913978496,0.32365591397849464,0.2604301075268817,0.2651612903225806,0.4470967741935484,0.49311827956989246,0.4464516129032258,0.5058064516129033,0.4890322580645161,0.5337634408602151,0.5329032258064517,0.5296774193548387,0.5505376344086022,0.5210752688172043,0.546236559139785,0.5320430107526881,0.5058064516129033,0.4524731182795699,0.49053763440860215,0.5393548387096774,0.5470967741935484,0.5503225806451613,0.5531182795698925,0.5234408602150538,0.5045161290322581,0.5679569892473119,0.5653763440860216,0.5716129032258065,0.5378494623655914,0.5539784946236559,0.5298924731182796,0.5232258064516129,0.5445161290322581,0.5298924731182796,0.5217204301075269,0.5402150537634408,0.5610752688172043,0.5412903225806451,0.5333333333333333,0.552258064516129,0.5230107526881721,0.5660215053763441,0.5670967741935484,0.5653763440860216,0.5694623655913978,0.5460215053763441,0.510752688172043,0.509247311827957,0.5352688172043011,0.4475268817204301,0.4774193548387097,0.5096774193548387,0.5081720430107527,0.4993548387096774,0.43806451612903224,0.34881720430107527,0.48731182795698924,0.4565591397849462,0.5146236559139785,0.5283870967741936,0.5335483870967742,0.5470967741935484,0.5552688172043011,0.5496774193548387,0.524731182795699,0.5350537634408602,0.49010752688172043,0.5036559139784946,0.5417204301075269,0.5378494623655914,0.5533333333333333,0.5180645161290323,0.5529032258064516,0.5572043010752689,0.5946236559139785,0.5787096774193549,0.5612903225806452,0.5421505376344086,0.566236559139785,0.5578494623655914,0.5464516129032259,0.5670967741935484,0.5694623655913978,0.5012903225806452,0.5701075268817204,0.5855913978494623,0.5703225806451613,0.5729032258064516,0.5670967741935484,0.5780645161290323,0.5843010752688172,0.5791397849462365,0.5972043010752688,0.6094623655913979,0.5746236559139785,0.5840860215053764,0.5776344086021505,0.5944086021505376,0.5926881720430107,0.578494623655914,0.5875268817204301,0.5726881720430107,0.5853763440860215,0.6004301075268818,0.5804301075268817,0.5954838709677419,0.5886021505376344,0.5903225806451613,0.5778494623655914,0.5941935483870968,0.587741935483871,0.5868817204301076,0.5765591397849462,0.6034408602150537,0.5941935483870968,0.5946236559139785,0.6,0.5946236559139785,0.5720430107526882,0.584516129032258,0.5967741935483871,0.5991397849462365,0.5954838709677419,0.5832258064516129,0.5950537634408603,0.5954838709677419,0.603225806451613,0.5911827956989247,0.5905376344086022,0.5995698924731183,0.6015053763440861,0.6172043010752688,0.6090322580645161,0.6038709677419355,0.6006451612903225,0.6083870967741936,0.6002150537634409,0.6148387096774194,0.604516129032258,0.607741935483871,0.590752688172043,0.6135483870967742,0.6086021505376344,0.6197849462365591,0.6243010752688172,0.6243010752688172,0.6182795698924731,0.6193548387096774,0.621505376344086
